iter	Passed	Remaining
0	0	249
1	0	230
2	0	222
3	0	214
4	1	208
5	1	208
6	1	206
7	1	203
8	1	201
9	2	201
10	2	202
11	2	203
12	2	203
13	2	205
14	3	204
15	3	202
16	3	201
17	3	201
18	3	200
19	4	200
20	4	199
21	4	199
22	5	231
23	5	230
24	5	228
25	6	227
26	6	226
27	6	225
28	6	225
29	7	226
30	7	224
31	7	223
32	7	222
33	7	220
34	7	219
35	8	218
36	8	218
37	8	217
38	8	216
39	9	216
40	9	215
41	9	214
42	9	214
43	9	214
44	10	214
45	10	214
46	10	214
47	10	213
48	10	213
49	11	212
50	11	212
51	11	211
52	11	211
53	12	212
54	12	212
55	12	211
56	12	211
57	12	210
58	13	209
59	13	209
60	13	208
61	13	207
62	14	208
63	14	208
64	14	209
65	14	208
66	14	208
67	15	207
68	15	207
69	15	206
70	15	206
71	15	205
72	16	205
73	16	204
74	16	204
75	16	204
76	16	203
77	17	203
78	17	202
79	17	202
80	17	202
81	18	201
82	18	199
83	18	199
84	18	198
85	18	198
86	18	198
87	19	198
88	19	198
89	19	197
90	19	197
91	19	197
92	20	196
93	20	196
94	20	196
95	20	195
96	21	195
97	21	195
98	21	195
99	21	194
100	21	194
101	22	194
102	22	193
103	22	193
104	22	192
105	22	192
106	23	191
107	23	191
108	23	191
109	23	190
110	23	190
111	23	189
112	24	189
113	24	188
114	24	188
115	24	188
116	24	188
117	25	187
118	25	187
119	25	187
120	25	186
121	25	186
122	26	186
123	26	185
124	26	185
125	26	185
126	26	184
127	27	184
128	27	184
129	27	184
130	27	184
131	27	184
132	28	183
133	28	183
134	28	183
135	28	183
136	29	182
137	29	182
138	29	183
139	29	182
140	29	182
141	30	181
142	30	181
143	30	181
144	30	181
145	30	181
146	31	180
147	31	180
148	31	180
149	31	179
150	31	179
151	32	179
152	32	178
153	32	178
154	32	178
155	32	177
156	33	177
157	33	177
158	33	177
159	33	176
160	33	176
161	33	175
162	34	175
163	34	175
164	34	175
165	34	175
166	35	174
167	35	174
168	35	174
169	35	173
170	35	173
171	36	173
172	36	173
173	36	173
174	36	172
175	36	172
176	37	172
177	37	172
178	37	171
179	37	171
180	37	171
181	38	171
182	38	170
183	38	170
184	38	170
185	38	170
186	39	169
187	39	169
188	39	169
189	39	169
190	39	168
191	40	168
192	40	168
193	40	168
194	40	167
195	40	167
196	41	167
197	41	167
198	41	167
199	41	166
200	41	166
201	42	166
202	42	166
203	42	166
204	43	168
205	43	168
206	43	168
207	44	168
208	44	168
209	44	167
210	44	167
211	45	167
212	45	167
213	45	167
214	45	166
215	45	166
216	46	166
217	46	165
218	46	165
219	46	165
220	46	164
221	47	164
222	47	164
223	47	164
224	47	163
225	47	163
226	48	163
227	48	163
228	48	162
229	48	162
230	48	162
231	49	162
232	49	162
233	49	161
234	49	161
235	49	161
236	50	161
237	50	160
238	50	160
239	50	160
240	50	160
241	51	159
242	51	159
243	51	159
244	51	159
245	51	158
246	51	158
247	52	158
248	52	158
249	52	158
250	52	157
251	53	157
252	53	157
253	53	157
254	53	156
255	53	156
256	54	156
257	54	156
258	54	156
259	54	156
260	55	155
261	55	155
262	55	155
263	55	155
264	55	154
265	56	154
266	56	154
267	56	154
268	56	153
269	56	153
270	57	153
271	57	153
272	57	153
273	57	152
274	58	154
275	58	154
276	59	154
277	59	154
278	59	154
279	59	154
280	60	154
281	60	153
282	60	153
283	60	153
284	60	153
285	61	152
286	61	152
287	61	152
288	61	151
289	61	151
290	62	151
291	62	151
292	62	150
293	62	150
294	62	150
295	63	150
296	63	149
297	63	149
298	63	149
299	63	149
300	64	148
301	64	148
302	64	148
303	64	148
304	65	148
305	65	148
306	65	147
307	65	147
308	65	147
309	66	147
310	66	147
311	66	146
312	66	146
313	66	146
314	67	146
315	67	145
316	67	145
317	67	145
318	68	145
319	68	145
320	68	144
321	68	144
322	68	144
323	68	143
324	69	143
325	69	143
326	69	143
327	69	142
328	69	142
329	70	142
330	70	142
331	70	142
332	70	141
333	70	141
334	71	141
335	71	141
336	71	140
337	71	140
338	71	140
339	72	140
340	72	139
341	72	139
342	72	139
343	72	138
344	73	138
345	73	138
346	73	138
347	73	138
348	74	138
349	74	137
350	74	137
351	74	137
352	74	137
353	75	137
354	75	136
355	75	136
356	75	136
357	76	136
358	76	136
359	76	135
360	76	135
361	76	135
362	76	135
363	77	134
364	77	134
365	77	134
366	77	134
367	77	133
368	78	133
369	78	133
370	78	133
371	78	133
372	79	132
373	79	132
374	79	132
375	79	132
376	79	131
377	79	131
378	80	131
379	80	131
380	80	130
381	80	130
382	80	130
383	81	130
384	81	129
385	81	129
386	81	129
387	82	129
388	82	129
389	82	129
390	82	128
391	82	128
392	83	128
393	83	128
394	83	127
395	83	127
396	83	127
397	84	127
398	84	127
399	84	126
400	84	126
401	84	126
402	85	126
403	85	125
404	85	125
405	85	125
406	85	125
407	86	124
408	86	124
409	86	124
410	86	124
411	86	123
412	87	123
413	87	123
414	87	123
415	87	123
416	87	122
417	87	122
418	88	122
419	88	122
420	88	121
421	88	121
422	89	121
423	89	121
424	89	121
425	89	121
426	90	120
427	90	120
428	90	120
429	90	120
430	90	120
431	91	119
432	91	119
433	91	119
434	91	119
435	92	119
436	92	118
437	92	118
438	92	118
439	92	118
440	92	117
441	93	117
442	93	117
443	93	117
444	93	116
445	93	116
446	94	116
447	94	116
448	94	116
449	94	115
450	94	115
451	95	115
452	95	115
453	95	114
454	95	114
455	95	114
456	96	114
457	96	114
458	96	113
459	96	113
460	96	113
461	97	113
462	97	112
463	97	112
464	97	112
465	98	112
466	98	112
467	98	112
468	98	111
469	98	111
470	99	111
471	99	111
472	99	110
473	99	110
474	99	110
475	100	110
476	100	109
477	100	109
478	100	109
479	100	109
480	101	109
481	101	108
482	101	108
483	101	108
484	101	108
485	102	107
486	102	107
487	102	107
488	102	107
489	102	107
490	103	106
491	103	106
492	103	106
493	103	106
494	103	105
495	104	105
496	104	105
497	104	105
498	104	105
499	104	104
500	105	104
501	105	104
502	105	104
503	105	104
504	106	104
505	106	103
506	106	103
507	106	103
508	107	103
509	107	103
510	107	102
511	107	102
512	107	102
513	108	102
514	108	101
515	108	101
516	108	101
517	108	101
518	109	101
519	109	100
520	109	100
521	109	100
522	109	100
523	109	99
524	110	99
525	110	99
526	110	99
527	110	99
528	110	98
529	111	98
530	111	98
531	111	98
532	111	97
533	111	97
534	112	97
535	112	97
536	112	97
537	112	96
538	112	96
539	113	96
540	113	96
541	113	95
542	113	95
543	113	95
544	114	95
545	114	95
546	114	94
547	114	94
548	114	94
549	115	94
550	115	93
551	115	93
552	115	93
553	115	93
554	116	93
555	116	92
556	116	92
557	116	92
558	117	92
559	117	92
560	117	91
561	117	91
562	117	91
563	117	91
564	118	90
565	118	90
566	118	90
567	118	90
568	119	90
569	119	89
570	119	89
571	119	89
572	119	89
573	119	89
574	120	88
575	120	88
576	120	88
577	120	88
578	121	88
579	121	87
580	121	87
581	121	87
582	122	87
583	122	87
584	122	86
585	122	86
586	122	86
587	123	86
588	123	86
589	123	85
590	123	85
591	123	85
592	124	85
593	124	84
594	124	84
595	124	84
596	124	84
597	125	84
598	125	83
599	125	83
600	125	83
601	125	83
602	126	83
603	126	82
604	126	82
605	126	82
606	126	82
607	127	81
608	127	81
609	127	81
610	127	81
611	127	81
612	127	80
613	128	80
614	128	80
615	128	80
616	128	79
617	129	79
618	129	79
619	129	79
620	129	79
621	129	78
622	129	78
623	130	78
624	130	78
625	130	78
626	130	77
627	130	77
628	131	77
629	131	77
630	131	76
631	131	76
632	131	76
633	132	76
634	132	76
635	132	75
636	132	75
637	132	75
638	133	75
639	133	74
640	133	74
641	133	74
642	133	74
643	134	74
644	134	73
645	134	73
646	134	73
647	134	73
648	135	73
649	135	72
650	135	72
651	135	72
652	136	72
653	136	72
654	136	71
655	136	71
656	137	71
657	137	71
658	137	71
659	137	71
660	138	70
661	138	70
662	138	70
663	138	70
664	138	69
665	139	69
666	139	69
667	139	69
668	139	69
669	139	68
670	139	68
671	140	68
672	140	68
673	140	68
674	140	67
675	141	67
676	141	67
677	141	67
678	141	66
679	141	66
680	141	66
681	142	66
682	142	66
683	142	65
684	142	65
685	142	65
686	143	65
687	143	65
688	143	64
689	143	64
690	143	64
691	144	64
692	144	63
693	144	63
694	144	63
695	144	63
696	145	63
697	145	62
698	145	62
699	145	62
700	145	62
701	146	62
702	146	61
703	146	61
704	146	61
705	146	61
706	147	60
707	147	60
708	147	60
709	147	60
710	147	60
711	148	59
712	148	59
713	148	59
714	148	59
715	148	59
716	149	58
717	149	58
718	149	58
719	149	58
720	149	57
721	150	57
722	150	57
723	150	57
724	150	57
725	150	56
726	151	56
727	151	56
728	151	56
729	151	56
730	151	55
731	152	55
732	152	55
733	152	55
734	152	55
735	152	54
736	153	54
737	153	54
738	153	54
739	153	54
740	153	53
741	154	53
742	154	53
743	154	53
744	154	52
745	154	52
746	155	52
747	155	52
748	155	52
749	155	51
750	155	51
751	156	51
